 Theta Psi Nu P Q
  0.54286721E+01  0.30432418E+00 -0.74937225E-09  0.30000000E+01  0.19000000E+02
  0.15079645E+01  0.69392385E+00  0.46796462E-09  0.30000000E+01  0.19000000E+02
  0.30159289E+01  0.26973174E+00 -0.23726892E-09  0.30000000E+01  0.19000000E+02
  0.35185838E+00  0.23294222E+00  0.12971471E-09  0.30000000E+01  0.19000000E+02
  0.27143361E+01  0.28064796E+00 -0.96360363E-09  0.30000000E+01  0.19000000E+02
  0.34934510E+01  0.27671271E+00 -0.98563907E-09  0.30000000E+01  0.19000000E+02
  0.50265482E+01  0.48307071E+00 -0.70949351E-10  0.30000000E+01  0.19000000E+02
  0.54538048E+01  0.29818736E+00 -0.94576974E-09  0.30000000E+01  0.19000000E+02
  0.15330972E+01  0.70688048E+00 -0.57512811E-09  0.30000000E+01  0.19000000E+02
  0.30410617E+01  0.26943760E+00 -0.59685413E-09  0.30000000E+01  0.19000000E+02
  0.37699112E+00  0.23465834E+00  0.43947871E-09  0.30000000E+01  0.19000000E+02
  0.35185838E+01  0.27798199E+00 -0.10223662E-08  0.30000000E+01  0.19000000E+02
  0.50516810E+01  0.46554435E+00 -0.60496913E-09  0.30000000E+01  0.19000000E+02
  0.15582300E+01  0.71416002E+00 -0.10215394E-08  0.30000000E+01  0.19000000E+02
  0.30661944E+01  0.26921745E+00 -0.86867360E-09  0.30000000E+01  0.19000000E+02
  0.54789376E+01  0.29242539E+00 -0.10171733E-08  0.30000000E+01  0.19000000E+02
  0.35437165E+01  0.27937984E+00 -0.91277118E-09  0.30000000E+01  0.19000000E+02
  0.15833627E+01  0.71514841E+00 -0.34465023E-09  0.30000000E+01  0.19000000E+02
  0.50768137E+01  0.44911543E+00 -0.94390116E-09  0.30000000E+01  0.19000000E+02
  0.30913272E+01  0.26906879E+00 -0.10120815E-08  0.30000000E+01  0.19000000E+02
  0.55040703E+01  0.28701430E+00 -0.97671698E-09  0.30000000E+01  0.19000000E+02
  0.35688493E+01  0.28091461E+00 -0.67300943E-09  0.30000000E+01  0.19000000E+02
  0.31164599E+01  0.26898966E+00 -0.10054209E-08  0.30000000E+01  0.19000000E+02
  0.51019465E+01  0.43373635E+00 -0.10193711E-08  0.30000000E+01  0.19000000E+02
  0.35939820E+01  0.28259518E+00 -0.33731770E-09  0.30000000E+01  0.19000000E+02
  0.31415927E+01  0.26897874E+00 -0.84941355E-09  0.30000000E+01  0.19000000E+02
  0.31667254E+01  0.26903529E+00 -0.56713608E-09  0.30000000E+01  0.19000000E+02
  0.31918581E+01  0.26915921E+00 -0.20059701E-09  0.30000000E+01  0.19000000E+02
  0.23624777E+01  0.32318868E+00 -0.26279110E-09  0.30000000E+01  0.19000000E+02
  0.32169909E+01  0.38848394E+00 -0.38783551E-12  0.70000000E+01  0.44000000E+02
  0.36191147E+01  0.39750378E+00  0.31909908E-11  0.70000000E+01  0.44000000E+02
  0.16084954E+01  0.10554837E+01 -0.59000564E-12  0.70000000E+01  0.44000000E+02
  0.47752208E+01  0.10272252E+01 -0.45549256E-12  0.70000000E+01  0.44000000E+02
  0.51522120E+01  0.53896657E+00  0.10838329E-11  0.70000000E+01  0.44000000E+02
  0.20106193E+01  0.57729416E+00  0.13846902E-11  0.70000000E+01  0.44000000E+02
  0.32421236E+01  0.38860477E+00  0.58180767E-13  0.70000000E+01  0.44000000E+02
  0.36442475E+01  0.39910748E+00  0.39910433E-11  0.70000000E+01  0.44000000E+02
  0.16336282E+01  0.10252370E+01 -0.60741804E-12  0.70000000E+01  0.44000000E+02
  0.48003536E+01  0.98710199E+00 -0.34681320E-12  0.70000000E+01  0.44000000E+02
  0.12566371E+00  0.31464825E+00  0.11783878E-11  0.70000000E+01  0.44000000E+02
  0.32672564E+01  0.38874677E+00  0.15341754E-12  0.70000000E+01  0.44000000E+02
  0.36693802E+01  0.40092583E+00  0.97342558E-12  0.70000000E+01  0.44000000E+02
  0.16587609E+01  0.98816794E+00 -0.59641992E-12  0.70000000E+01  0.44000000E+02
  0.48254863E+01  0.94250745E+00 -0.29349739E-12  0.70000000E+01  0.44000000E+02
  0.47249554E+01  0.10737751E+01 -0.63762415E-12  0.70000000E+01  0.44000000E+02
  0.32923891E+01  0.38891432E+00  0.23639187E-12  0.70000000E+01  0.44000000E+02
  0.36945130E+01  0.40297746E+00  0.12536188E-11  0.70000000E+01  0.44000000E+02
  0.17592919E+00  0.31631053E+00  0.93837684E-12  0.70000000E+01  0.44000000E+02
  0.16838937E+01  0.94818349E+00 -0.57921937E-12  0.70000000E+01  0.44000000E+02
  0.48506191E+01  0.89708234E+00 -0.27515663E-12  0.70000000E+01  0.44000000E+02
  0.61072561E+01  0.31607037E+00  0.28610095E-11  0.70000000E+01  0.44000000E+02
  0.47500881E+01  0.10578308E+01 -0.21573426E-12  0.70000000E+01  0.44000000E+02
