 Theta Psi Nu P Q
  0.37699112E+00  0.39652745E+00  0.17003318E-09  0.40000000E+01  0.25000000E+02
  0.39709731E+01  0.52054104E+00 -0.25000139E-08  0.40000000E+01  0.25000000E+02
  0.31918581E+01  0.47411498E+00  0.21096187E-08  0.40000000E+01  0.25000000E+02
  0.18346901E+01  0.84934197E+00 -0.20491183E-08  0.40000000E+01  0.25000000E+02
  0.50014155E+01  0.78222589E+00 -0.20829955E-08  0.40000000E+01  0.25000000E+02
  0.77911498E+00  0.45993647E+00 -0.24288111E-08  0.40000000E+01  0.25000000E+02
  0.35939820E+01  0.47503254E+00 -0.50744552E-09  0.40000000E+01  0.25000000E+02
  0.18598229E+01  0.81508304E+00 -0.27744500E-08  0.40000000E+01  0.25000000E+02
  0.50265482E+01  0.74879048E+00 -0.27700739E-08  0.40000000E+01  0.25000000E+02
  0.18849556E+01  0.78387742E+00 -0.22733036E-08  0.40000000E+01  0.25000000E+02
  0.50516810E+01  0.71857816E+00 -0.23679284E-08  0.40000000E+01  0.25000000E+02
  0.19100883E+01  0.75541867E+00 -0.90070810E-09  0.40000000E+01  0.25000000E+02
  0.50768137E+01  0.69120635E+00 -0.11569381E-08  0.40000000E+01  0.25000000E+02
  0.19352211E+01  0.72943284E+00  0.74765455E-09  0.40000000E+01  0.25000000E+02
  0.51019465E+01  0.66634602E+00  0.38436250E-09  0.40000000E+01  0.25000000E+02
  0.19603538E+01  0.70567695E+00  0.20937501E-08  0.40000000E+01  0.25000000E+02
  0.51270792E+01  0.64371427E+00  0.17593157E-08  0.40000000E+01  0.25000000E+02
  0.19854866E+01  0.68393633E+00  0.27483638E-08  0.40000000E+01  0.25000000E+02
  0.40212386E+01  0.64839485E+00 -0.11142622E-07  0.50000000E+01  0.31000000E+02
  0.80424772E+00  0.58137085E+00 -0.30358170E-07  0.50000000E+01  0.31000000E+02
  0.28148670E+01  0.61123337E+00  0.80406231E-08  0.50000000E+01  0.31000000E+02
  0.32169909E+01  0.62370228E+00  0.30733169E-07  0.50000000E+01  0.31000000E+02
  0.12063716E+01  0.82544913E+00 -0.59189334E-08  0.50000000E+01  0.31000000E+02
  0.40212386E+00  0.52572961E+00  0.11531731E-07  0.50000000E+01  0.31000000E+02
  0.36191147E+01  0.60373055E+00  0.39021242E-07  0.50000000E+01  0.31000000E+02
  0.59061942E+01  0.51958223E+00  0.25602201E-07  0.50000000E+01  0.31000000E+02
  0.00000000E+00  0.48585191E+00 -0.23808649E-08  0.50000000E+01  0.31000000E+02
  0.20106193E+01  0.79336394E+00 -0.26106158E-07  0.50000000E+01  0.31000000E+02
  0.51773447E+01  0.72585072E+00  0.23207001E-07  0.50000000E+01  0.31000000E+02
  0.40463713E+01  0.65709808E+00 -0.30774817E-07  0.50000000E+01  0.31000000E+02
  0.28399998E+01  0.61286561E+00 -0.21109496E-07  0.50000000E+01  0.31000000E+02
  0.82938046E+00  0.58747471E+00 -0.41867207E-07  0.50000000E+01  0.31000000E+02
  0.36442475E+01  0.60268472E+00  0.43136262E-07  0.50000000E+01  0.31000000E+02
  0.32421236E+01  0.62362176E+00  0.67009503E-09  0.50000000E+01  0.31000000E+02
  0.12315043E+01  0.85893874E+00  0.20684031E-07  0.50000000E+01  0.31000000E+02
  0.42725660E+00  0.52933475E+00  0.35445272E-07  0.50000000E+01  0.31000000E+02
  0.59313269E+01  0.51583411E+00  0.41769657E-07  0.50000000E+01  0.31000000E+02
  0.25132741E-01  0.48613590E+00 -0.24595621E-07  0.50000000E+01  0.31000000E+02
  0.56046013E+01  0.56006318E+00 -0.34241514E-07  0.50000000E+01  0.31000000E+02
  0.40715041E+01  0.66677826E+00 -0.42092556E-07  0.50000000E+01  0.31000000E+02
  0.28651325E+01  0.61441932E+00 -0.40747671E-07  0.50000000E+01  0.31000000E+02
  0.85451320E+00  0.59431856E+00 -0.42188989E-07  0.50000000E+01  0.31000000E+02
  0.36693802E+01  0.60198927E+00  0.33268203E-07  0.50000000E+01  0.31000000E+02
  0.32672564E+01  0.62339544E+00 -0.29759212E-07  0.50000000E+01  0.31000000E+02
  0.45238934E+00  0.53279917E+00  0.43390007E-07  0.50000000E+01  0.31000000E+02
  0.59564597E+01  0.51214385E+00  0.40602556E-07  0.50000000E+01  0.31000000E+02
  0.50265482E-01  0.48677966E+00 -0.39685245E-07  0.50000000E+01  0.31000000E+02
  0.12817698E+01  0.93908467E+00  0.41658850E-07  0.50000000E+01  0.31000000E+02
  0.56297340E+01  0.55660555E+00 -0.13286176E-07  0.50000000E+01  0.31000000E+02
  0.28902652E+01  0.61585992E+00 -0.40654092E-07  0.50000000E+01  0.31000000E+02
  0.87964594E+00  0.60197460E+00 -0.31563963E-07  0.50000000E+01  0.31000000E+02
  0.40966368E+01  0.67750981E+00 -0.41783021E-07  0.50000000E+01  0.31000000E+02
  0.36945130E+01  0.60168869E+00  0.13278642E-07  0.50000000E+01  0.31000000E+02
  0.32923891E+01  0.62299531E+00 -0.43437376E-07  0.50000000E+01  0.31000000E+02
  0.47752208E+00  0.53609867E+00  0.31736249E-07  0.50000000E+01  0.31000000E+02
  0.59815924E+01  0.50856297E+00  0.23356010E-07  0.50000000E+01  0.31000000E+02
  0.75398224E-01  0.48777972E+00 -0.43121936E-07  0.50000000E+01  0.31000000E+02
  0.56548668E+01  0.55334682E+00  0.12837410E-07  0.50000000E+01  0.31000000E+02
  0.29153980E+01  0.61716317E+00 -0.19956967E-07  0.50000000E+01  0.31000000E+02
  0.90477868E+00  0.61051895E+00 -0.12928930E-07  0.50000000E+01  0.31000000E+02
  0.37196457E+01  0.60182173E+00 -0.10362068E-07  0.50000000E+01  0.31000000E+02
  0.41217696E+01  0.68937678E+00 -0.29635118E-07  0.50000000E+01  0.31000000E+02
  0.26640706E+01  0.60255628E+00 -0.33185024E-07  0.50000000E+01  0.31000000E+02
  0.33175218E+01  0.62239310E+00 -0.32833905E-07  0.50000000E+01  0.31000000E+02
  0.50265482E+00  0.53922725E+00  0.59845407E-08  0.50000000E+01  0.31000000E+02
  0.60067252E+01  0.50513898E+00 -0.25449857E-08  0.50000000E+01  0.31000000E+02
  0.10053096E+00  0.48913020E+00 -0.33629511E-07  0.50000000E+01  0.31000000E+02
  0.56799995E+01  0.55020955E+00  0.34703155E-07  0.50000000E+01  0.31000000E+02
  0.29405307E+01  0.61831651E+00  0.11322371E-07  0.50000000E+01  0.31000000E+02
  0.37447784E+01  0.60242240E+00 -0.30682264E-07  0.50000000E+01  0.31000000E+02
  0.92991143E+00  0.62003357E+00  0.89292358E-08  0.50000000E+01  0.31000000E+02
  0.41469023E+01  0.70247456E+00 -0.88067432E-08  0.50000000E+01  0.31000000E+02
  0.26892033E+01  0.60359217E+00 -0.11593180E-07  0.50000000E+01  0.31000000E+02
  0.33426546E+01  0.62156587E+00 -0.41557678E-08  0.50000000E+01  0.31000000E+02
  0.52778757E+00  0.54219801E+00 -0.22133694E-07  0.50000000E+01  0.31000000E+02
  0.60318579E+01  0.50191346E+00 -0.27079430E-07  0.50000000E+01  0.31000000E+02
  0.12566371E+00  0.49082274E+00 -0.13729668E-07  0.50000000E+01  0.31000000E+02
  0.57051323E+01  0.54712151E+00  0.43491875E-07  0.50000000E+01  0.31000000E+02
  0.37699112E+01  0.60352106E+00 -0.42116622E-07  0.50000000E+01  0.31000000E+02
  0.29656635E+01  0.61931952E+00  0.36845669E-07  0.50000000E+01  0.31000000E+02
  0.95504417E+00  0.63060821E+00  0.28511554E-07  0.50000000E+01  0.31000000E+02
  0.27143361E+01  0.60486779E+00  0.14635796E-07  0.50000000E+01  0.31000000E+02
  0.41720350E+01  0.71691178E+00  0.14850175E-07  0.50000000E+01  0.31000000E+02
  0.33677873E+01  0.62050164E+00  0.26561065E-07  0.50000000E+01  0.31000000E+02
  0.55292031E+00  0.54504258E+00 -0.40462176E-07  0.50000000E+01  0.31000000E+02
  0.60569906E+01  0.49892142E+00 -0.41591892E-07  0.50000000E+01  0.31000000E+02
  0.15079645E+00  0.49284630E+00  0.10723121E-07  0.50000000E+01  0.31000000E+02
  0.57302650E+01  0.54401928E+00  0.34865951E-07  0.50000000E+01  0.31000000E+02
  0.37950439E+01  0.60514578E+00 -0.41816183E-07  0.50000000E+01  0.31000000E+02
  0.29907962E+01  0.62018221E+00  0.42687480E-07  0.50000000E+01  0.31000000E+02
  0.27394688E+01  0.60632697E+00  0.35925608E-07  0.50000000E+01  0.31000000E+02
  0.98017691E+00  0.64234258E+00  0.40903668E-07  0.50000000E+01  0.31000000E+02
  0.41971678E+01  0.73281266E+00  0.34297691E-07  0.50000000E+01  0.31000000E+02
  0.33929201E+01  0.61920321E+00  0.42857674E-07  0.50000000E+01  0.31000000E+02
  0.57805305E+00  0.54780948E+00 -0.41873859E-07  0.50000000E+01  0.31000000E+02
  0.60821234E+01  0.49619164E+00 -0.41615003E-07  0.50000000E+01  0.31000000E+02
  0.17592919E+00  0.49518678E+00  0.32040939E-07  0.50000000E+01  0.31000000E+02
  0.57553977E+01  0.54085164E+00  0.11571680E-07  0.50000000E+01  0.31000000E+02
  0.38201767E+01  0.60732353E+00 -0.30165567E-07  0.50000000E+01  0.31000000E+02
  0.27646015E+01  0.60791197E+00  0.43447348E-07  0.50000000E+01  0.31000000E+02
  0.30159289E+01  0.62092141E+00  0.25331190E-07  0.50000000E+01  0.31000000E+02
  0.10053096E+01  0.65534863E+00  0.42905791E-07  0.50000000E+01  0.31000000E+02
  0.34180528E+01  0.61768933E+00  0.36842986E-07  0.50000000E+01  0.31000000E+02
  0.60318579E+00  0.55056129E+00 -0.26749716E-07  0.50000000E+01  0.31000000E+02
  0.61072561E+01  0.49374751E+00 -0.27837398E-07  0.50000000E+01  0.31000000E+02
  0.42223005E+01  0.75031954E+00  0.43302638E-07  0.50000000E+01  0.31000000E+02
  0.20106193E+00  0.49782648E+00  0.42979192E-07  0.50000000E+01  0.31000000E+02
  0.57805305E+01  0.53758217E+00 -0.16930992E-07  0.50000000E+01  0.31000000E+02
  0.38453094E+01  0.61008143E+00 -0.10492620E-07  0.50000000E+01  0.31000000E+02
  0.27897343E+01  0.60956559E+00  0.33054930E-07  0.50000000E+01  0.31000000E+02
  0.30410617E+01  0.62155588E+00 -0.59646648E-08  0.50000000E+01  0.31000000E+02
  0.10304424E+01  0.66975332E+00  0.33815771E-07  0.50000000E+01  0.31000000E+02
  0.34431855E+01  0.61599351E+00  0.12588191E-07  0.50000000E+01  0.31000000E+02
  0.62831853E+00  0.55337100E+00 -0.18507733E-08  0.50000000E+01  0.31000000E+02
  0.61323889E+01  0.49160805E+00 -0.52927893E-08  0.50000000E+01  0.31000000E+02
  0.22619467E+00  0.50074322E+00  0.39229535E-07  0.50000000E+01  0.31000000E+02
  0.58056632E+01  0.53419087E+00 -0.38247969E-07  0.50000000E+01  0.31000000E+02
  0.38704421E+01  0.61344787E+00  0.11894303E-07  0.50000000E+01  0.31000000E+02
  0.30661944E+01  0.62210166E+00 -0.34041752E-07  0.50000000E+01  0.31000000E+02
  0.10555751E+01  0.68570174E+00  0.15703293E-07  0.50000000E+01  0.31000000E+02
  0.34683183E+01  0.61416157E+00 -0.17241629E-07  0.50000000E+01  0.31000000E+02
  0.65345127E+00  0.55631801E+00  0.23182798E-07  0.50000000E+01  0.31000000E+02
  0.61575216E+01  0.48978875E+00  0.18637652E-07  0.50000000E+01  0.31000000E+02
  0.25132741E+00  0.50390931E+00  0.21330838E-07  0.50000000E+01  0.31000000E+02
  0.38955749E+01  0.61745346E+00  0.31090887E-07  0.50000000E+01  0.31000000E+02
  0.58307960E+01  0.53067467E+00 -0.42775727E-07  0.50000000E+01  0.31000000E+02
  0.30913272E+01  0.62256916E+00 -0.43308340E-07  0.50000000E+01  0.31000000E+02
  0.10807079E+01  0.70336101E+00 -0.69094131E-08  0.50000000E+01  0.31000000E+02
  0.34934510E+01  0.61224885E+00 -0.38602699E-07  0.50000000E+01  0.31000000E+02
  0.67858401E+00  0.55948432E+00  0.39735098E-07  0.50000000E+01  0.31000000E+02
  0.61826543E+01  0.48830219E+00  0.36625735E-07  0.50000000E+01  0.31000000E+02
  0.39207076E+01  0.62213193E+00  0.42081535E-07  0.50000000E+01  0.31000000E+02
  0.27646015E+00  0.50729039E+00 -0.48444515E-08  0.50000000E+01  0.31000000E+02
  0.58559287E+01  0.52704697E+00 -0.28415559E-07  0.50000000E+01  0.31000000E+02
  0.31164599E+01  0.62296236E+00 -0.28493302E-07  0.50000000E+01  0.31000000E+02
  0.11058406E+01  0.72292511E+00 -0.27960613E-07  0.50000000E+01  0.31000000E+02
  0.35185838E+01  0.61031747E+00 -0.42722112E-07  0.50000000E+01  0.31000000E+02
  0.70371675E+00  0.56295160E+00  0.42955311E-07  0.50000000E+01  0.31000000E+02
  0.62077871E+01  0.48715849E+00  0.43485092E-07  0.50000000E+01  0.31000000E+02
  0.39458404E+01  0.62752077E+00  0.41988248E-07  0.50000000E+01  0.31000000E+02
  0.30159289E+00  0.51084463E+00 -0.29600429E-07  0.50000000E+01  0.31000000E+02
  0.58810614E+01  0.52333604E+00 -0.16611258E-08  0.50000000E+01  0.31000000E+02
  0.31415927E+01  0.62327973E+00  0.22548719E-08  0.50000000E+01  0.31000000E+02
  0.11309734E+01  0.74462100E+00 -0.41260571E-07  0.50000000E+01  0.31000000E+02
  0.72884950E+00  0.56679919E+00  0.32699319E-07  0.50000000E+01  0.31000000E+02
  0.35437165E+01  0.60843357E+00 -0.29104782E-07  0.50000000E+01  0.31000000E+02
  0.62329198E+01  0.48636549E+00  0.37460369E-07  0.50000000E+01  0.31000000E+02
  0.39709731E+01  0.63366196E+00  0.30797640E-07  0.50000000E+01  0.31000000E+02
  0.32672564E+00  0.51452264E+00 -0.42843561E-07  0.50000000E+01  0.31000000E+02
  0.31667254E+01  0.62351560E+00  0.31778276E-07  0.50000000E+01  0.31000000E+02
  0.11561061E+01  0.76871659E+00 -0.42191537E-07  0.50000000E+01  0.31000000E+02
  0.75398224E+00  0.57110327E+00  0.12844139E-07  0.50000000E+01  0.31000000E+02
  0.39961059E+01  0.64060245E+00  0.11391322E-07  0.50000000E+01  0.31000000E+02
  0.35688493E+01  0.60666447E+00 -0.43948973E-08  0.50000000E+01  0.31000000E+02
  0.62580526E+01  0.48592883E+00  0.20508702E-07  0.50000000E+01  0.31000000E+02
  0.35185838E+00  0.51826871E+00 -0.38403232E-07  0.50000000E+01  0.31000000E+02
  0.11812388E+01  0.79553115E+00 -0.29395475E-07  0.50000000E+01  0.31000000E+02
  0.31918581E+01  0.62366082E+00  0.43484592E-07  0.50000000E+01  0.31000000E+02
  0.77911498E+00  0.57593691E+00 -0.10375924E-07  0.50000000E+01  0.31000000E+02
  0.35939820E+01  0.60507608E+00  0.21381752E-07  0.50000000E+01  0.31000000E+02
  0.37699112E+00  0.52202373E+00 -0.17372301E-07  0.50000000E+01  0.31000000E+02
  0.49260173E+01  0.11082721E+01  0.38341763E-07  0.50000000E+01  0.31000000E+02
  0.49511500E+01  0.10449511E+01  0.82125433E-08  0.50000000E+01  0.31000000E+02
  0.49762828E+01  0.98997469E+00 -0.25409979E-07  0.50000000E+01  0.31000000E+02
  0.50014155E+01  0.94186048E+00 -0.42693362E-07  0.50000000E+01  0.31000000E+02
  0.17844246E+01  0.11212811E+01 -0.22833705E-07  0.50000000E+01  0.31000000E+02
  0.50265482E+01  0.89946469E+00 -0.37857671E-07  0.50000000E+01  0.31000000E+02
  0.18095574E+01  0.10669441E+01 -0.42889457E-07  0.50000000E+01  0.31000000E+02
  0.50516810E+01  0.86189316E+00 -0.16422171E-07  0.50000000E+01  0.31000000E+02
  0.18346901E+01  0.10186224E+01 -0.35064283E-07  0.50000000E+01  0.31000000E+02
  0.51019465E+01  0.11449903E+01 -0.52795808E-04  0.50000000E+01  0.31000000E+02
  0.18598229E+01  0.97546789E+00 -0.77936794E-08  0.50000000E+01  0.31000000E+02
  0.18849556E+01  0.93678523E+00  0.22431376E-07  0.50000000E+01  0.31000000E+02
  0.19352211E+01  0.87063780E+00  0.41138784E-07  0.50000000E+01  0.31000000E+02
  0.19603538E+01  0.84229533E+00  0.24376346E-07  0.50000000E+01  0.31000000E+02
  0.19854866E+01  0.81663402E+00 -0.14020124E-08  0.50000000E+01  0.31000000E+02
