 Theta Psi Nu P Q
  0.36191147E+01  0.28443092E+00  0.42398620E-10  0.30000000E+01  0.19000000E+02
  0.20608848E+01  0.41342566E+00  0.83272156E-09  0.30000000E+01  0.19000000E+02
  0.51773447E+01  0.39332583E+00 -0.35418170E-10  0.30000000E+01  0.19000000E+02
  0.48380527E+01  0.64449951E+00 -0.84279321E-09  0.30000000E+01  0.19000000E+02
  0.17215928E+01  0.63681642E+00 -0.93260693E-09  0.30000000E+01  0.19000000E+02
  0.28399998E+01  0.27418585E+00  0.65035189E-09  0.30000000E+01  0.19000000E+02
  0.46495571E+00  0.24182222E+00  0.10262947E-08  0.30000000E+01  0.19000000E+02
  0.44233625E+01  0.52734251E+00  0.10178560E-08  0.30000000E+01  0.19000000E+02
  0.12943362E+01  0.51070509E+00  0.92726164E-09  0.30000000E+01  0.19000000E+02
  0.24504423E+01  0.30806758E+00  0.91289589E-09  0.30000000E+01  0.19000000E+02
  0.17341591E+01  0.62645715E+00 -0.67428997E-09  0.30000000E+01  0.19000000E+02
  0.48506191E+01  0.63321620E+00 -0.10137026E-08  0.30000000E+01  0.19000000E+02
  0.20734512E+01  0.40805319E+00  0.95008745E-09  0.30000000E+01  0.19000000E+02
  0.36316811E+01  0.28541005E+00  0.23462393E-09  0.30000000E+01  0.19000000E+02
  0.51899111E+01  0.38734798E+00  0.19395526E-09  0.30000000E+01  0.19000000E+02
  0.28525661E+01  0.27370884E+00  0.78945300E-09  0.30000000E+01  0.19000000E+02
  0.48631854E+01  0.62172743E+00 -0.99099601E-09  0.30000000E+01  0.19000000E+02
  0.17467255E+01  0.61604098E+00 -0.30992968E-09  0.30000000E+01  0.19000000E+02
  0.44359288E+01  0.53645997E+00  0.10100704E-08  0.30000000E+01  0.19000000E+02
  0.13069025E+01  0.52077296E+00  0.74554434E-09  0.30000000E+01  0.19000000E+02
  0.47752208E+00  0.24300281E+00  0.10216374E-08  0.30000000E+01  0.19000000E+02
  0.24630086E+01  0.30619966E+00  0.98588865E-09  0.30000000E+01  0.19000000E+02
  0.48757518E+01  0.61013727E+00 -0.79633159E-09  0.30000000E+01  0.19000000E+02
  0.17592919E+01  0.60563335E+00  0.93338723E-10  0.30000000E+01  0.19000000E+02
  0.20860175E+01  0.40285494E+00  0.10146788E-08  0.30000000E+01  0.19000000E+02
  0.52024774E+01  0.38156716E+00  0.41042183E-09  0.30000000E+01  0.19000000E+02
  0.44484952E+01  0.54580623E+00  0.89582562E-09  0.30000000E+01  0.19000000E+02
  0.13194689E+01  0.53112418E+00  0.48292927E-09  0.30000000E+01  0.19000000E+02
  0.36442475E+01  0.28643174E+00  0.41836168E-09  0.30000000E+01  0.19000000E+02
  0.28651325E+01  0.27325912E+00  0.89988669E-09  0.30000000E+01  0.19000000E+02
  0.49008845E+00  0.24422530E+00  0.99170809E-09  0.30000000E+01  0.19000000E+02
  0.48883182E+01  0.59853344E+00 -0.47809232E-09  0.30000000E+01  0.19000000E+02
  0.17718583E+01  0.59528828E+00  0.47156711E-09  0.30000000E+01  0.19000000E+02
  0.44610616E+01  0.55537178E+00  0.67962381E-09  0.30000000E+01  0.19000000E+02
  0.13320353E+01  0.54174950E+00  0.16077533E-09  0.30000000E+01  0.19000000E+02
  0.20985839E+01  0.39782559E+00  0.10249906E-08  0.30000000E+01  0.19000000E+02
  0.52150438E+01  0.37597645E+00  0.60426310E-09  0.30000000E+01  0.19000000E+02
  0.49008845E+01  0.58698856E+00 -0.96772384E-10  0.30000000E+01  0.19000000E+02
  0.17844246E+01  0.58504985E+00  0.77293611E-09  0.30000000E+01  0.19000000E+02
  0.32169909E+01  0.26935104E+00  0.19657367E-09  0.30000000E+01  0.19000000E+02
  0.36568138E+01  0.28749730E+00  0.58719449E-09  0.30000000E+01  0.19000000E+02
  0.28776989E+01  0.27283590E+00  0.97771123E-09  0.30000000E+01  0.19000000E+02
  0.50265482E+00  0.24549066E+00  0.93717713E-09  0.30000000E+01  0.19000000E+02
  0.44736279E+01  0.56514334E+00  0.37869493E-09  0.30000000E+01  0.19000000E+02
  0.13446017E+01  0.55263474E+00 -0.18922520E-09  0.30000000E+01  0.19000000E+02
  0.49134509E+01  0.57556165E+00  0.28639111E-09  0.30000000E+01  0.19000000E+02
  0.17969910E+01  0.57495352E+00  0.96360142E-09  0.30000000E+01  0.19000000E+02
  0.21111503E+01  0.39295994E+00  0.98236112E-09  0.30000000E+01  0.19000000E+02
  0.52276102E+01  0.37056914E+00  0.76748111E-09  0.30000000E+01  0.19000000E+02
  0.32295572E+01  0.26947276E+00  0.38661770E-09  0.30000000E+01  0.19000000E+02
  0.44861943E+01  0.57510313E+00  0.23467069E-10  0.30000000E+01  0.19000000E+02
  0.13571680E+01  0.56375967E+00 -0.52654575E-09  0.30000000E+01  0.19000000E+02
  0.49260173E+01  0.56429981E+00  0.62005713E-09  0.30000000E+01  0.19000000E+02
  0.36693802E+01  0.28860811E+00  0.73510505E-09  0.30000000E+01  0.19000000E+02
